name,price,genre
ЛегендарныеКомпьютерныеИгры Вулф Т. Гений наносит ответный удар. Хидео Кодзима и эволюция METAL GEAR,649,Художественно-документальная проза
ЯркиеСтраницы Диккенс Ч. Лавка древностей,392,Художественная литература
ЭффектМотылька Данилова А.В. Мелодия убийства,337,Художественная литература
ЭксклюзивнаяКлассика-м Нацумэ С. Ваш покорный слуга кот,229,Художественная литература
Шарм-мини Фоули Г. Обольстительная леди,121,Художественная литература
Смит Д.Е. Непотопляемая Грета Джеймс (+QR-код для аудио),496,Художественная литература
СпецназБерии Тамоников А.А. Просчет невидимки,407,Художественная литература
"ТатьянаУстиноваРекомендует-м Островская Е.Н. Цвет бедра испуганной нимфы (цикл ""Женское лицо частного сыска. Детектив Вера Бережная"")",174,Художественная литература
Руднева М.С. Мирт. Истина короля,407,Художественная литература
РусБест-м Леонов Н.И.,182,Художественная литература
РусБест-м Леонов Н.И.,182,Художественная литература
РусБест-м Серова М.С. Повернуть назад,182,Художественная литература
СекретыЖенскогоСчастья Колочкова В. Давай придумаем любовь,337,Художественная литература
ОпасныеСтрасти-м Гордина Е. Забери меня с собой (остросюжетные мелодрамы),174,Художественная литература
Очарование-тв Бойл Э. Ночь страсти,338,Художественная литература
Маклин Дж. Наследство в Тоскане (+QR-код для аудио),511,Художественная литература
МеждуНамиДевочками-м Нестерова Н.Н. Средство от облысения,182,Художественная литература
НабоковскийКорпус Набоков В.В. Взгляни на арлекинов!,512,Художественная литература
"ИроническийДетектив-м Донцова Д.А. Венок из железных одуванчиков (сериал ""Джентельмен сыска Иван Подушкин"")",206,Художественная литература
ВечернийДетектив Дорош Е. Забытый аромат,337,Художественная литература
ВремяЧитатьЖенщин-м Чижова Е.С. Крошки Цахес,243,Художественная литература
Бестселлеры Андреева Н.В. Семь разгневанных богинь,408,Художественная литература
БиблиотекаИзбранныхСочинений Сенека Л.А. Нравственные письма к Луцилию,461,Художественная литература
БумажнаяПринцесса Джейд Э. Злая принцесса,408,Художественная литература
